source,target,year,value
Corporate Tax,Revenue,1968,3.2
Corporate Tax,Revenue,1969,3.7
Corporate Tax,Revenue,1970,3.1
Corporate Tax,Revenue,1971,2.4
Corporate Tax,Revenue,1972,2.6
Corporate Tax,Revenue,1973,2.7
Corporate Tax,Revenue,1974,2.6
Corporate Tax,Revenue,1975,2.5
Corporate Tax,Revenue,1976,2.3
Corporate Tax,Revenue,1977,2.7
Corporate Tax,Revenue,1978,2.6
Corporate Tax,Revenue,1979,2.6
Corporate Tax,Revenue,1980,2.3
Corporate Tax,Revenue,1981,1.9
Corporate Tax,Revenue,1982,1.5
Corporate Tax,Revenue,1983,1
Corporate Tax,Revenue,1984,1.4
Corporate Tax,Revenue,1985,1.4
Corporate Tax,Revenue,1986,1.4
Corporate Tax,Revenue,1987,1.8
Corporate Tax,Revenue,1988,1.8
Corporate Tax,Revenue,1989,1.9
Corporate Tax,Revenue,1990,1.6
Corporate Tax,Revenue,1991,1.6
Corporate Tax,Revenue,1992,1.6
Corporate Tax,Revenue,1993,1.7
Corporate Tax,Revenue,1994,2
Corporate Tax,Revenue,1995,2.1
Corporate Tax,Revenue,1996,2.2
Corporate Tax,Revenue,1997,2.1
Corporate Tax,Revenue,1998,2.1
Corporate Tax,Revenue,1999,1.9
Corporate Tax,Revenue,2000,2
Corporate Tax,Revenue,2001,1.4
Corporate Tax,Revenue,2002,1.4
Corporate Tax,Revenue,2003,1.2
Corporate Tax,Revenue,2004,1.6
Corporate Tax,Revenue,2005,2.2
Corporate Tax,Revenue,2006,2.6
Corporate Tax,Revenue,2007,2.6
Corporate Tax,Revenue,2008,2.1
Corporate Tax,Revenue,2009,1
Corporate Tax,Revenue,2010,1.3
Corporate Tax,Revenue,2011,1.2
Corporate Tax,Revenue,2012,1.5
Corporate Tax,Revenue,2013,1.7
Corporate Tax,Revenue,2014,1.9
Corporate Tax,Revenue,2015,1.9
Corporate Tax,Revenue,2016,1.6
Corporate Tax,Revenue,2017,1.5
Customs Duties,Revenue,1968,0.2
Customs Duties,Revenue,1969,0.2
Customs Duties,Revenue,1970,0.2
Customs Duties,Revenue,1971,0.2
Customs Duties,Revenue,1972,0.3
Customs Duties,Revenue,1973,0.2
Customs Duties,Revenue,1974,0.2
Customs Duties,Revenue,1975,0.2
Customs Duties,Revenue,1976,0.2
Customs Duties,Revenue,1977,0.3
Customs Duties,Revenue,1978,0.3
Customs Duties,Revenue,1979,0.3
Customs Duties,Revenue,1980,0.3
Customs Duties,Revenue,1981,0.3
Customs Duties,Revenue,1982,0.3
Customs Duties,Revenue,1983,0.2
Customs Duties,Revenue,1984,0.3
Customs Duties,Revenue,1985,0.3
Customs Duties,Revenue,1986,0.3
Customs Duties,Revenue,1987,0.3
Customs Duties,Revenue,1988,0.3
Customs Duties,Revenue,1989,0.3
Customs Duties,Revenue,1990,0.3
Customs Duties,Revenue,1991,0.3
Customs Duties,Revenue,1992,0.3
Customs Duties,Revenue,1993,0.3
Customs Duties,Revenue,1994,0.3
Customs Duties,Revenue,1995,0.3
Customs Duties,Revenue,1996,0.2
Customs Duties,Revenue,1997,0.2
Customs Duties,Revenue,1998,0.2
Customs Duties,Revenue,1999,0.2
Customs Duties,Revenue,2000,0.2
Customs Duties,Revenue,2001,0.2
Customs Duties,Revenue,2002,0.2
Customs Duties,Revenue,2003,0.2
Customs Duties,Revenue,2004,0.2
Customs Duties,Revenue,2005,0.2
Customs Duties,Revenue,2006,0.2
Customs Duties,Revenue,2007,0.2
Customs Duties,Revenue,2008,0.2
Customs Duties,Revenue,2009,0.2
Customs Duties,Revenue,2010,0.2
Customs Duties,Revenue,2011,0.2
Customs Duties,Revenue,2012,0.2
Customs Duties,Revenue,2013,0.2
Customs Duties,Revenue,2014,0.2
Customs Duties,Revenue,2015,0.2
Customs Duties,Revenue,2016,0.2
Customs Duties,Revenue,2017,0.2
Discretionary,Defense,1968,9.1
Discretionary,Defense,1969,8.4
Discretionary,Defense,1970,7.8
Discretionary,Defense,1971,7.1
Discretionary,Defense,1972,6.5
Discretionary,Defense,1973,5.7
Discretionary,Defense,1974,5.4
Discretionary,Defense,1975,5.4
Discretionary,Defense,1976,5
Discretionary,Defense,1977,4.8
Discretionary,Defense,1978,4.6
Discretionary,Defense,1979,4.5
Discretionary,Defense,1980,4.8
Discretionary,Defense,1981,5
Discretionary,Defense,1982,5.6
Discretionary,Defense,1983,5.9
Discretionary,Defense,1984,5.8
Discretionary,Defense,1985,5.9
Discretionary,Defense,1986,6
Discretionary,Defense,1987,5.9
Discretionary,Defense,1988,5.6
Discretionary,Defense,1989,5.5
Discretionary,Defense,1990,5.1
Discretionary,Defense,1991,5.2
Discretionary,Defense,1992,4.7
Discretionary,Defense,1993,4.3
Discretionary,Defense,1994,3.9
Discretionary,Defense,1995,3.6
Discretionary,Defense,1996,3.3
Discretionary,Defense,1997,3.2
Discretionary,Defense,1998,3
Discretionary,Defense,1999,2.9
Discretionary,Defense,2000,2.9
Discretionary,Defense,2001,2.9
Discretionary,Defense,2002,3.2
Discretionary,Defense,2003,3.6
Discretionary,Defense,2004,3.8
Discretionary,Defense,2005,3.8
Discretionary,Defense,2006,3.8
Discretionary,Defense,2007,3.8
Discretionary,Defense,2008,4.2
Discretionary,Defense,2009,4.6
Discretionary,Defense,2010,4.7
Discretionary,Defense,2011,4.5
Discretionary,Defense,2012,4.2
Discretionary,Defense,2013,3.8
Discretionary,Defense,2014,3.5
Discretionary,Defense,2015,3.2
Discretionary,Defense,2016,3.2
Discretionary,Defense,2017,3.1
Discretionary,Nondefense,1968,4
Discretionary,Nondefense,1969,3.5
Discretionary,Nondefense,1970,3.7
Discretionary,Nondefense,1971,3.9
Discretionary,Nondefense,1972,4
Discretionary,Nondefense,1973,3.9
Discretionary,Nondefense,1974,3.9
Discretionary,Nondefense,1975,4.4
Discretionary,Nondefense,1976,4.8
Discretionary,Nondefense,1977,4.9
Discretionary,Nondefense,1978,5
Discretionary,Nondefense,1979,4.8
Discretionary,Nondefense,1980,5.1
Discretionary,Nondefense,1981,4.8
Discretionary,Nondefense,1982,4.2
Discretionary,Nondefense,1983,4.1
Discretionary,Nondefense,1984,3.8
Discretionary,Nondefense,1985,3.8
Discretionary,Nondefense,1986,3.6
Discretionary,Nondefense,1987,3.4
Discretionary,Nondefense,1988,3.4
Discretionary,Nondefense,1989,3.3
Discretionary,Nondefense,1990,3.4
Discretionary,Nondefense,1991,3.5
Discretionary,Nondefense,1992,3.6
Discretionary,Nondefense,1993,3.6
Discretionary,Nondefense,1994,3.6
Discretionary,Nondefense,1995,3.6
Discretionary,Nondefense,1996,3.3
Discretionary,Nondefense,1997,3.2
Discretionary,Nondefense,1998,3.1
Discretionary,Nondefense,1999,3.1
Discretionary,Nondefense,2000,3.1
Discretionary,Nondefense,2001,3.2
Discretionary,Nondefense,2002,3.5
Discretionary,Nondefense,2003,3.7
Discretionary,Nondefense,2004,3.6
Discretionary,Nondefense,2005,3.7
Discretionary,Nondefense,2006,3.6
Discretionary,Nondefense,2007,3.4
Discretionary,Nondefense,2008,3.5
Discretionary,Nondefense,2009,4
Discretionary,Nondefense,2010,4.4
Discretionary,Nondefense,2011,4.2
Discretionary,Nondefense,2012,3.8
Discretionary,Nondefense,2013,3.5
Discretionary,Nondefense,2014,3.4
Discretionary,Nondefense,2015,3.3
Discretionary,Nondefense,2016,3.3
Discretionary,Nondefense,2017,3.2
Estate/Gift Tax,Revenue,1968,0.3
Estate/Gift Tax,Revenue,1969,0.4
Estate/Gift Tax,Revenue,1970,0.3
Estate/Gift Tax,Revenue,1971,0.3
Estate/Gift Tax,Revenue,1972,0.4
Estate/Gift Tax,Revenue,1973,0.4
Estate/Gift Tax,Revenue,1974,0.3
Estate/Gift Tax,Revenue,1975,0.3
Estate/Gift Tax,Revenue,1976,0.3
Estate/Gift Tax,Revenue,1977,0.4
Estate/Gift Tax,Revenue,1978,0.2
Estate/Gift Tax,Revenue,1979,0.2
Estate/Gift Tax,Revenue,1980,0.2
Estate/Gift Tax,Revenue,1981,0.2
Estate/Gift Tax,Revenue,1982,0.2
Estate/Gift Tax,Revenue,1983,0.2
Estate/Gift Tax,Revenue,1984,0.2
Estate/Gift Tax,Revenue,1985,0.2
Estate/Gift Tax,Revenue,1986,0.2
Estate/Gift Tax,Revenue,1987,0.2
Estate/Gift Tax,Revenue,1988,0.1
Estate/Gift Tax,Revenue,1989,0.2
Estate/Gift Tax,Revenue,1990,0.2
Estate/Gift Tax,Revenue,1991,0.2
Estate/Gift Tax,Revenue,1992,0.2
Estate/Gift Tax,Revenue,1993,0.2
Estate/Gift Tax,Revenue,1994,0.2
Estate/Gift Tax,Revenue,1995,0.2
Estate/Gift Tax,Revenue,1996,0.2
Estate/Gift Tax,Revenue,1997,0.2
Estate/Gift Tax,Revenue,1998,0.3
Estate/Gift Tax,Revenue,1999,0.3
Estate/Gift Tax,Revenue,2000,0.3
Estate/Gift Tax,Revenue,2001,0.3
Estate/Gift Tax,Revenue,2002,0.2
Estate/Gift Tax,Revenue,2003,0.2
Estate/Gift Tax,Revenue,2004,0.2
Estate/Gift Tax,Revenue,2005,0.2
Estate/Gift Tax,Revenue,2006,0.2
Estate/Gift Tax,Revenue,2007,0.2
Estate/Gift Tax,Revenue,2008,0.2
Estate/Gift Tax,Revenue,2009,0.2
Estate/Gift Tax,Revenue,2010,0.1
Estate/Gift Tax,Revenue,2011,0.1
Estate/Gift Tax,Revenue,2012,0.1
Estate/Gift Tax,Revenue,2013,0.1
Estate/Gift Tax,Revenue,2014,0.1
Estate/Gift Tax,Revenue,2015,0.1
Estate/Gift Tax,Revenue,2016,0.1
Estate/Gift Tax,Revenue,2017,0.1
Excise Tax,Revenue,1968,1.6
Excise Tax,Revenue,1969,1.5
Excise Tax,Revenue,1970,1.5
Excise Tax,Revenue,1971,1.5
Excise Tax,Revenue,1972,1.3
